Source,Year,Series,Target,Value
Denmark,2020,Major trading partner 2 (% of exports),Germany,12.6
Denmark,2010,Major trading partner 2 (% of imports),Sweden,13.3
Denmark,2015,Major trading partner 2 (% of imports),Sweden,12.3
Denmark,2020,Major trading partner 2 (% of imports),Sweden,12.6
Denmark,2010,Major trading partner 3 (% of exports),Sweden,15
Denmark,2015,Major trading partner 3 (% of exports),Sweden,14.6
Denmark,2020,Major trading partner 3 (% of exports),Sweden,8.7
Denmark,2010,Major trading partner 3 (% of imports),Netherlands,7.1
Denmark,2015,Major trading partner 3 (% of imports),Netherlands,8
Denmark,2020,Major trading partner 3 (% of imports),Netherlands,8.5
Djibouti,2010,Major trading partner 1 (% of exports),Saudi Arabia,0.8
Djibouti,2015,Major trading partner 1 (% of exports),Saudi Arabia,22.8
Djibouti,2020,Major trading partner 1 (% of exports),Saudi Arabia,25.7
Djibouti,2010,Major trading partner 1 (% of imports),China,3.2
Djibouti,2015,Major trading partner 1 (% of imports),China,46.9
Djibouti,2020,Major trading partner 1 (% of imports),China,42.8
Djibouti,2010,Major trading partner 2 (% of exports),China,0
Djibouti,2015,Major trading partner 2 (% of exports),China,0.7
Djibouti,2020,Major trading partner 2 (% of exports),China,22.8
Djibouti,2010,Major trading partner 2 (% of imports),United Arab Emirates,18.5
Djibouti,2015,Major trading partner 2 (% of imports),United Arab Emirates,7.5
Djibouti,2020,Major trading partner 2 (% of imports),United Arab Emirates,14.1
Djibouti,2010,Major trading partner 3 (% of exports),United States,0.4
Djibouti,2015,Major trading partner 3 (% of exports),United States,25.9
Djibouti,2020,Major trading partner 3 (% of exports),United States,20.2
Djibouti,2010,Major trading partner 3 (% of imports),India,3.2
Djibouti,2015,Major trading partner 3 (% of imports),India,4.8
Djibouti,2020,Major trading partner 3 (% of imports),India,6.3
Dominica,2015,Major trading partner 1 (% of exports),Saudi Arabia,10.3
Dominica,2020,Major trading partner 1 (% of exports),Saudi Arabia,38
Dominica,2010,Major trading partner 1 (% of imports),United States,41.8
Dominica,2015,Major trading partner 1 (% of imports),United States,29.9
Dominica,2020,Major trading partner 1 (% of imports),United States,32.2
Dominica,2010,Major trading partner 2 (% of exports),Bahamas,0.4
Dominica,2015,Major trading partner 2 (% of exports),Bahamas,50.8
Dominica,2020,Major trading partner 2 (% of exports),Bahamas,13.7
Dominica,2010,Major trading partner 2 (% of imports),Nigeria,0
Dominica,2020,Major trading partner 2 (% of imports),Nigeria,30.2
Dominica,2020,Major trading partner 3 (% of exports),Senegal,4.9
Dominica,2010,Major trading partner 3 (% of imports),China,4
Dominica,2015,Major trading partner 3 (% of imports),China,13.7
Dominica,2020,Major trading partner 3 (% of imports),China,5.9
Dominican Republic,2010,Major trading partner 1 (% of exports),United States,57.7
Dominican Republic,2015,Major trading partner 1 (% of exports),United States,53.6
Dominican Republic,2020,Major trading partner 1 (% of exports),United States,55.5
Dominican Republic,2010,Major trading partner 1 (% of imports),United States,39
Dominican Republic,2015,Major trading partner 1 (% of imports),United States,41.3
Dominican Republic,2020,Major trading partner 1 (% of imports),United States,43.5
Dominican Republic,2010,Major trading partner 2 (% of exports),Haiti,16.8
Dominican Republic,2015,Major trading partner 2 (% of exports),Haiti,12.1
Dominican Republic,2020,Major trading partner 2 (% of exports),Haiti,9.3
Dominican Republic,2010,Major trading partner 2 (% of imports),China,10.7
Dominican Republic,2015,Major trading partner 2 (% of imports),China,13.4
Dominican Republic,2020,Major trading partner 2 (% of imports),China,14.3
Dominican Republic,2010,Major trading partner 3 (% of exports),India,0.9
Dominican Republic,2015,Major trading partner 3 (% of exports),India,6.7
Dominican Republic,2020,Major trading partner 3 (% of exports),India,7.2
Dominican Republic,2010,Major trading partner 3 (% of imports),Brazil,2.3
Dominican Republic,2015,Major trading partner 3 (% of imports),Brazil,3.2
Dominican Republic,2020,Major trading partner 3 (% of imports),Brazil,3.7
Ecuador,2010,Major trading partner 1 (% of exports),United States,34.7
Ecuador,2015,Major trading partner 1 (% of exports),United States,39.4
Ecuador,2020,Major trading partner 1 (% of exports),United States,30.2
Ecuador,2010,Major trading partner 1 (% of imports),United States,27.9
Ecuador,2015,Major trading partner 1 (% of imports),United States,23.8
Ecuador,2020,Major trading partner 1 (% of imports),United States,21.7
Ecuador,2010,Major trading partner 2 (% of exports),China,1.9
Ecuador,2015,Major trading partner 2 (% of exports),China,3.9
Ecuador,2020,Major trading partner 2 (% of exports),China,13
Ecuador,2010,Major trading partner 2 (% of imports),China,7.8
Ecuador,2015,Major trading partner 2 (% of imports),China,19
Ecuador,2020,Major trading partner 2 (% of imports),China,18.9
Ecuador,2010,Major trading partner 3 (% of exports),Panama,12.2
Ecuador,2015,Major trading partner 3 (% of exports),Panama,2.4
Ecuador,2020,Major trading partner 3 (% of exports),Panama,8.6
Ecuador,2010,Major trading partner 3 (% of imports),Colombia,9.8
Ecuador,2015,Major trading partner 3 (% of imports),Colombia,7.6
Ecuador,2020,Major trading partner 3 (% of imports),Colombia,7.9
Egypt,2010,Major trading partner 1 (% of exports),United Arab Emirates,2.3
Egypt,2015,Major trading partner 1 (% of exports),United Arab Emirates,5.1
Egypt,2020,Major trading partner 1 (% of exports),United Arab Emirates,10.7
Egypt,2010,Major trading partner 1 (% of imports),China,9.2
Egypt,2015,Major trading partner 1 (% of imports),China,13.1
Egypt,2020,Major trading partner 1 (% of imports),China,15
Egypt,2010,Major trading partner 2 (% of exports),Saudi Arabia,5.9
Egypt,2015,Major trading partner 2 (% of exports),Saudi Arabia,9.2
Egypt,2020,Major trading partner 2 (% of exports),Saudi Arabia,6.4
Egypt,2010,Major trading partner 2 (% of imports),United States,9.4
Egypt,2015,Major trading partner 2 (% of imports),United States,5.9
Egypt,2020,Major trading partner 2 (% of imports),United States,6.7
Egypt,2010,Major trading partner 3 (% of exports),Turkey,3.7
Egypt,2015,Major trading partner 3 (% of exports),Turkey,5.8
Egypt,2020,Major trading partner 3 (% of exports),Turkey,6.2
Egypt,2010,Major trading partner 3 (% of imports),Saudi Arabia,4
Egypt,2015,Major trading partner 3 (% of imports),Saudi Arabia,4
Egypt,2020,Major trading partner 3 (% of imports),Saudi Arabia,6.3
El Salvador,2010,Major trading partner 1 (% of exports),United States,48.4
El Salvador,2015,Major trading partner 1 (% of exports),United States,46.9
El Salvador,2020,Major trading partner 1 (% of exports),United States,39.7
El Salvador,2010,Major trading partner 1 (% of imports),United States,33
El Salvador,2015,Major trading partner 1 (% of imports),United States,33.8
El Salvador,2020,Major trading partner 1 (% of imports),United States,26.4
El Salvador,2010,Major trading partner 2 (% of exports),Guatemala,14
El Salvador,2015,Major trading partner 2 (% of exports),Guatemala,13.6
El Salvador,2020,Major trading partner 2 (% of exports),Guatemala,16.9
El Salvador,2010,Major trading partner 2 (% of imports),China,10.4
El Salvador,2015,Major trading partner 2 (% of imports),China,13.6
El Salvador,2020,Major trading partner 2 (% of imports),China,14.6
El Salvador,2010,Major trading partner 3 (% of exports),Honduras,12.9
El Salvador,2015,Major trading partner 3 (% of exports),Honduras,14
El Salvador,2020,Major trading partner 3 (% of exports),Honduras,15.4
El Salvador,2010,Major trading partner 3 (% of imports),Guatemala,8.7
El Salvador,2015,Major trading partner 3 (% of imports),Guatemala,9.9
El Salvador,2020,Major trading partner 3 (% of imports),Guatemala,11.5
Equatorial Guinea,2010,Major trading partner 1 (% of exports),China,6.2
Equatorial Guinea,2015,Major trading partner 1 (% of exports),China,17.1
Equatorial Guinea,2020,Major trading partner 1 (% of exports),China,33.3
Equatorial Guinea,2010,Major trading partner 1 (% of imports),Spain,5.8
Equatorial Guinea,2015,Major trading partner 1 (% of imports),Spain,16.7
Equatorial Guinea,2020,Major trading partner 1 (% of imports),Spain,20.4
Equatorial Guinea,2010,Major trading partner 2 (% of exports),Spain,10
Equatorial Guinea,2015,Major trading partner 2 (% of exports),Spain,9.2
Equatorial Guinea,2020,Major trading partner 2 (% of exports),Spain,11.9
Equatorial Guinea,2010,Major trading partner 2 (% of imports),China,8.9
Equatorial Guinea,2015,Major trading partner 2 (% of imports),China,14.9
Equatorial Guinea,2020,Major trading partner 2 (% of imports),China,13.1
Equatorial Guinea,2010,Major trading partner 3 (% of exports),Portugal,2.5
Equatorial Guinea,2015,Major trading partner 3 (% of exports),Portugal,3.6
Equatorial Guinea,2020,Major trading partner 3 (% of exports),Portugal,11.3
Equatorial Guinea,2010,Major trading partner 3 (% of imports),United States,5.3
Equatorial Guinea,2015,Major trading partner 3 (% of imports),United States,9.3
Equatorial Guinea,2020,Major trading partner 3 (% of imports),United States,10.4
Eritrea,2010,Major trading partner 1 (% of exports),China,5.8
Eritrea,2015,Major trading partner 1 (% of exports),China,38.7
Eritrea,2020,Major trading partner 1 (% of exports),China,60.3
Eritrea,2010,Major trading partner 1 (% of imports),United Arab Emirates,14.2
Eritrea,2015,Major trading partner 1 (% of imports),United Arab Emirates,12.9
Eritrea,2020,Major trading partner 1 (% of imports),United Arab Emirates,24.1
Eritrea,2010,Major trading partner 2 (% of exports),United Arab Emirates,13.4
Eritrea,2015,Major trading partner 2 (% of exports),United Arab Emirates,4.5
Eritrea,2020,Major trading partner 2 (% of exports),United Arab Emirates,27.6
Eritrea,2010,Major trading partner 2 (% of imports),Egypt,10.9
Eritrea,2015,Major trading partner 2 (% of imports),Egypt,12
Eritrea,2020,Major trading partner 2 (% of imports),Egypt,21.3
Eritrea,2010,Major trading partner 3 (% of exports),Republic of Korea,0.1
Eritrea,2015,Major trading partner 3 (% of exports),Republic of Korea,3
Eritrea,2020,Major trading partner 3 (% of exports),Republic of Korea,10.6
Eritrea,2010,Major trading partner 3 (% of imports),China,7.6
Eritrea,2015,Major trading partner 3 (% of imports),China,32.5
Eritrea,2020,Major trading partner 3 (% of imports),China,19.1
Estonia,2010,Major trading partner 1 (% of exports),Finland,15.3
Estonia,2015,Major trading partner 1 (% of exports),Finland,14.5
Estonia,2020,Major trading partner 1 (% of exports),Finland,15.1
Estonia,2010,Major trading partner 1 (% of imports),Germany,10.6
Estonia,2015,Major trading partner 1 (% of imports),Germany,9.7
Estonia,2020,Major trading partner 1 (% of imports),Germany,9.8
Estonia,2010,Major trading partner 2 (% of exports),Sweden,14
Estonia,2015,Major trading partner 2 (% of exports),Sweden,17.3
Estonia,2020,Major trading partner 2 (% of exports),Sweden,10
Estonia,2010,Major trading partner 2 (% of imports),China,7
Estonia,2015,Major trading partner 2 (% of imports),China,8
Estonia,2020,Major trading partner 2 (% of imports),China,9.3
Estonia,2010,Major trading partner 3 (% of exports),Latvia,8
Estonia,2015,Major trading partner 3 (% of exports),Latvia,9.5
Estonia,2020,Major trading partner 3 (% of exports),Latvia,8.7
Estonia,2010,Major trading partner 3 (% of imports),Russian Federation,10.5
Estonia,2015,Major trading partner 3 (% of imports),Russian Federation,9.8
Estonia,2020,Major trading partner 3 (% of imports),Russian Federation,9.1
Eswatini,2010,Major trading partner 1 (% of exports),South Africa,50.1
Eswatini,2015,Major trading partner 1 (% of exports),South Africa,62.7
Eswatini,2020,Major trading partner 1 (% of exports),South Africa,66.6
Eswatini,2010,Major trading partner 1 (% of imports),South Africa,81.2
Eswatini,2015,Major trading partner 1 (% of imports),South Africa,79.2
Eswatini,2020,Major trading partner 1 (% of imports),South Africa,73
Eswatini,2010,Major trading partner 2 (% of exports),Kenya,2.5
Eswatini,2015,Major trading partner 2 (% of exports),Kenya,3.9
Eswatini,2020,Major trading partner 2 (% of exports),Kenya,6.3
Eswatini,2010,Major trading partner 2 (% of imports),China,1.4
Eswatini,2015,Major trading partner 2 (% of imports),China,4.1
Eswatini,2020,Major trading partner 2 (% of imports),China,7.2
Eswatini,2010,Major trading partner 3 (% of exports),Nigeria,2.4
Eswatini,2015,Major trading partner 3 (% of exports),Nigeria,4.6
Eswatini,2020,Major trading partner 3 (% of exports),Nigeria,5
Eswatini,2010,Major trading partner 3 (% of imports),Mozambique,0.1
Eswatini,2015,Major trading partner 3 (% of imports),Mozambique,0.1
Eswatini,2020,Major trading partner 3 (% of imports),Mozambique,2.4
Ethiopia,2010,Major trading partner 1 (% of exports),China,10.4
Ethiopia,2015,Major trading partner 1 (% of exports),China,15.2
Ethiopia,2020,Major trading partner 1 (% of exports),China,8.9
Ethiopia,2010,Major trading partner 1 (% of imports),China,24
Ethiopia,2015,Major trading partner 1 (% of imports),China,35.7
Ethiopia,2020,Major trading partner 1 (% of imports),China,28.3
Ethiopia,2010,Major trading partner 2 (% of exports),Saudi Arabia,6.3
Ethiopia,2015,Major trading partner 2 (% of exports),Saudi Arabia,8.2
Ethiopia,2020,Major trading partner 2 (% of exports),Saudi Arabia,8.9
Ethiopia,2010,Major trading partner 2 (% of imports),United States,5.6
Ethiopia,2015,Major trading partner 2 (% of imports),United States,5.4
Ethiopia,2020,Major trading partner 2 (% of imports),United States,10.7
Ethiopia,2010,Major trading partner 3 (% of exports),United States,4.4
Ethiopia,2015,Major trading partner 3 (% of exports),United States,9.8
Ethiopia,2020,Major trading partner 3 (% of exports),United States,7.8
Ethiopia,2010,Major trading partner 3 (% of imports),India,7.2
Ethiopia,2015,Major trading partner 3 (% of imports),India,6.8
Ethiopia,2020,Major trading partner 3 (% of imports),India,8.6
Falkland Islands (Malvinas),2010,Major trading partner 1 (% of exports),Spain,79.7
Falkland Islands (Malvinas),2015,Major trading partner 1 (% of exports),Spain,70.8
Falkland Islands (Malvinas),2020,Major trading partner 1 (% of exports),Spain,57.6
Falkland Islands (Malvinas),2010,Major trading partner 1 (% of imports),United Kingdom,77.7
Falkland Islands (Malvinas),2015,Major trading partner 1 (% of imports),United Kingdom,78
Falkland Islands (Malvinas),2020,Major trading partner 1 (% of imports),United Kingdom,59.2
Falkland Islands (Malvinas),2010,Major trading partner 2 (% of exports),United Kingdom,3.2
Falkland Islands (Malvinas),2015,Major trading partner 2 (% of exports),United Kingdom,3.3
Falkland Islands (Malvinas),2020,Major trading partner 2 (% of exports),United Kingdom,31.1
Falkland Islands (Malvinas),2010,Major trading partner 2 (% of imports),Spain,1.2
Falkland Islands (Malvinas),2015,Major trading partner 2 (% of imports),Spain,1.2
Falkland Islands (Malvinas),2020,Major trading partner 2 (% of imports),Spain,25.4
Falkland Islands (Malvinas),2010,Major trading partner 3 (% of exports),United States,3.1
Falkland Islands (Malvinas),2015,Major trading partner 3 (% of exports),United States,7.1
Falkland Islands (Malvinas),2020,Major trading partner 3 (% of exports),United States,2.9
Falkland Islands (Malvinas),2010,Major trading partner 3 (% of imports),Greece,6.7
Falkland Islands (Malvinas),2015,Major trading partner 3 (% of imports),Greece,9.6
Falkland Islands (Malvinas),2020,Major trading partner 3 (% of imports),Greece,12.6
Faroe Islands,2010,Major trading partner 1 (% of exports),Russian Federation,4
Faroe Islands,2015,Major trading partner 1 (% of exports),Russian Federation,21.3
Faroe Islands,2020,Major trading partner 1 (% of exports),Russian Federation,22.4
Faroe Islands,2010,Major trading partner 1 (% of imports),Denmark,30.4
Faroe Islands,2015,Major trading partner 1 (% of imports),Denmark,45.2
Faroe Islands,2020,Major trading partner 1 (% of imports),Denmark,51.1
Faroe Islands,2010,Major trading partner 2 (% of exports),United Kingdom,17.3
Faroe Islands,2015,Major trading partner 2 (% of exports),United Kingdom,17.5
Faroe Islands,2020,Major trading partner 2 (% of exports),United Kingdom,18.2
Faroe Islands,2010,Major trading partner 2 (% of imports),Norway,18.1
Faroe Islands,2015,Major trading partner 2 (% of imports),Norway,10.3
Faroe Islands,2020,Major trading partner 2 (% of imports),Norway,7.4
Faroe Islands,2010,Major trading partner 3 (% of exports),Denmark,11
Faroe Islands,2015,Major trading partner 3 (% of exports),Denmark,13
Faroe Islands,2020,Major trading partner 3 (% of exports),Denmark,13.3
Faroe Islands,2010,Major trading partner 3 (% of imports),Netherlands,1.7
Faroe Islands,2015,Major trading partner 3 (% of imports),Netherlands,4.7
Faroe Islands,2020,Major trading partner 3 (% of imports),Netherlands,6.9
Fiji,2010,Major trading partner 1 (% of exports),United States,11.4
Fiji,2015,Major trading partner 1 (% of exports),United States,15.7
Fiji,2020,Major trading partner 1 (% of exports),United States,22.3
Fiji,2010,Major trading partner 1 (% of imports),Singapore,33.1
Fiji,2015,Major trading partner 1 (% of imports),Singapore,19
Fiji,2020,Major trading partner 1 (% of imports),Singapore,18.5
Fiji,2010,Major trading partner 2 (% of exports),Australia,21.1
Fiji,2015,Major trading partner 2 (% of exports),Australia,15.1
Fiji,2020,Major trading partner 2 (% of exports),Australia,12.8
Fiji,2010,Major trading partner 2 (% of imports),Australia,20.3
Fiji,2015,Major trading partner 2 (% of imports),Australia,15.4
Fiji,2020,Major trading partner 2 (% of imports),Australia,14.5
Fiji,2010,Major trading partner 3 (% of exports),New Zealand,5.8
Fiji,2015,Major trading partner 3 (% of exports),New Zealand,4.7
Fiji,2020,Major trading partner 3 (% of exports),New Zealand,7.3
Fiji,2010,Major trading partner 3 (% of imports),France,0.8
Fiji,2015,Major trading partner 3 (% of imports),France,0.6
Fiji,2020,Major trading partner 3 (% of imports),France,14.1
Finland,2010,Major trading partner 1 (% of exports),Germany,9.5
Finland,2015,Major trading partner 1 (% of exports),Germany,13.6
Finland,2020,Major trading partner 1 (% of exports),Germany,13.5
Finland,2010,Major trading partner 1 (% of imports),Germany,13.2
Finland,2015,Major trading partner 1 (% of imports),Germany,15
Finland,2020,Major trading partner 1 (% of imports),Germany,15.4
Finland,2010,Major trading partner 2 (% of exports),Sweden,11.4
Finland,2015,Major trading partner 2 (% of exports),Sweden,10.1
Finland,2020,Major trading partner 2 (% of exports),Sweden,10.4
Finland,2010,Major trading partner 2 (% of imports),Sweden,10
Finland,2015,Major trading partner 2 (% of imports),Sweden,11.3
Finland,2020,Major trading partner 2 (% of imports),Sweden,11
Finland,2010,Major trading partner 3 (% of exports),United States,6.7
Finland,2015,Major trading partner 3 (% of exports),United States,6.7
Finland,2020,Major trading partner 3 (% of exports),United States,8.3
Finland,2010,Major trading partner 3 (% of imports),Russian Federation,17.7
Finland,2015,Major trading partner 3 (% of imports),Russian Federation,11
Finland,2020,Major trading partner 3 (% of imports),Russian Federation,9.7
France,2010,Major trading partner 1 (% of exports),Germany,16.2
France,2015,Major trading partner 1 (% of exports),Germany,16
France,2020,Major trading partner 1 (% of exports),Germany,14.3
France,2010,Major trading partner 1 (% of imports),Germany,17.3
France,2015,Major trading partner 1 (% of imports),Germany,17.1
France,2020,Major trading partner 1 (% of imports),Germany,17.3
France,2010,Major trading partner 2 (% of exports),Italy,8.1
France,2015,Major trading partner 2 (% of exports),Italy,7.2
France,2020,Major trading partner 2 (% of exports),Italy,7.6
France,2010,Major trading partner 2 (% of imports),Belgium,7.8
France,2015,Major trading partner 2 (% of imports),Belgium,7.2
France,2020,Major trading partner 2 (% of imports),Belgium,9.6
France,2010,Major trading partner 3 (% of exports),United States,5.7
France,2015,Major trading partner 3 (% of exports),United States,7.3
France,2020,Major trading partner 3 (% of exports),United States,7.6
France,2010,Major trading partner 3 (% of imports),Netherlands,4.2
France,2015,Major trading partner 3 (% of imports),Netherlands,4.2
France,2020,Major trading partner 3 (% of imports),Netherlands,8.6
French Polynesia,2010,Major trading partner 1 (% of exports),United States,11.6
French Polynesia,2015,Major trading partner 1 (% of exports),United States,18
French Polynesia,2020,Major trading partner 1 (% of exports),United States,25.1
French Polynesia,2010,Major trading partner 1 (% of imports),France,28.1
French Polynesia,2015,Major trading partner 1 (% of imports),France,25.6
French Polynesia,2020,Major trading partner 1 (% of imports),France,45.7
French Polynesia,2010,Major trading partner 2 (% of exports),France,13.2
French Polynesia,2015,Major trading partner 2 (% of exports),France,13.9
French Polynesia,2020,Major trading partner 2 (% of exports),France,24.1
French Polynesia,2010,Major trading partner 2 (% of imports),New Zealand,8.1
French Polynesia,2015,Major trading partner 2 (% of imports),New Zealand,7.5
French Polynesia,2020,Major trading partner 2 (% of imports),New Zealand,7.9
French Polynesia,2010,Major trading partner 3 (% of exports),Japan,20.1
French Polynesia,2015,Major trading partner 3 (% of exports),Japan,26.1
French Polynesia,2020,Major trading partner 3 (% of exports),Japan,19.5
French Polynesia,2010,Major trading partner 3 (% of imports),United States,10.1
French Polynesia,2015,Major trading partner 3 (% of imports),United States,10.4
French Polynesia,2020,Major trading partner 3 (% of imports),United States,7.6
Gabon,2010,Major trading partner 1 (% of exports),China,8
Gabon,2015,Major trading partner 1 (% of exports),China,18.2
Gabon,2020,Major trading partner 1 (% of exports),China,58.6
Gabon,2010,Major trading partner 1 (% of imports),France,32.9
Gabon,2015,Major trading partner 1 (% of imports),France,15.8
Gabon,2020,Major trading partner 1 (% of imports),France,21.8
Gabon,2010,Major trading partner 2 (% of exports),Singapore,0.4
Gabon,2015,Major trading partner 2 (% of exports),Singapore,0.4
Gabon,2020,Major trading partner 2 (% of exports),Singapore,6.3
Gabon,2010,Major trading partner 2 (% of imports),China,4.9
Gabon,2015,Major trading partner 2 (% of imports),China,17.6
Gabon,2020,Major trading partner 2 (% of imports),China,19.9
Gabon,2010,Major trading partner 3 (% of exports),India,0.8
Gabon,2015,Major trading partner 3 (% of exports),India,1.9
Gabon,2020,Major trading partner 3 (% of exports),India,5.8
Gabon,2010,Major trading partner 3 (% of imports),United Arab Emirates,1.1
Gabon,2015,Major trading partner 3 (% of imports),United Arab Emirates,1.1
Gabon,2020,Major trading partner 3 (% of imports),United Arab Emirates,5.1
Gambia,2010,Major trading partner 1 (% of exports),Senegal,26.3
Gambia,2015,Major trading partner 1 (% of exports),Senegal,4.9
Gambia,2020,Major trading partner 1 (% of exports),Senegal,50.5
Gambia,2010,Major trading partner 1 (% of imports),Norway,0.1
Gambia,2015,Major trading partner 1 (% of imports),Norway,0.1
Gambia,2020,Major trading partner 1 (% of imports),Norway,13.6
Gambia,2010,Major trading partner 2 (% of exports),Mali,3.4
Gambia,2015,Major trading partner 2 (% of exports),Mali,46.2
Gambia,2020,Major trading partner 2 (% of exports),Mali,25.4
Gambia,2010,Major trading partner 2 (% of imports),China,8.7
Gambia,2015,Major trading partner 2 (% of imports),China,6.9
Gambia,2020,Major trading partner 2 (% of imports),China,10.4
Gambia,2010,Major trading partner 3 (% of exports),Guinea-Bissau,3.1
Gambia,2015,Major trading partner 3 (% of exports),Guinea-Bissau,2.1
Gambia,2020,Major trading partner 3 (% of exports),Guinea-Bissau,9.1
Gambia,2010,Major trading partner 3 (% of imports),Ivory Coast,19.4
Gambia,2015,Major trading partner 3 (% of imports),Ivory Coast,17.8
Gambia,2020,Major trading partner 3 (% of imports),Ivory Coast,9.2
Georgia,2010,Major trading partner 1 (% of exports),China,1.6
Georgia,2015,Major trading partner 1 (% of exports),China,5.7
Georgia,2020,Major trading partner 1 (% of exports),China,14.3
Georgia,2010,Major trading partner 1 (% of imports),Turkey,16.9
Georgia,2015,Major trading partner 1 (% of imports),Turkey,18.2
Georgia,2020,Major trading partner 1 (% of imports),Turkey,17.5
Georgia,2010,Major trading partner 2 (% of exports),Azerbaijan,15.3
Georgia,2015,Major trading partner 2 (% of exports),Azerbaijan,10.9
Georgia,2020,Major trading partner 2 (% of exports),Azerbaijan,13.2
Georgia,2010,Major trading partner 2 (% of imports),Russian Federation,4.6
Georgia,2015,Major trading partner 2 (% of imports),Russian Federation,8.6
Georgia,2020,Major trading partner 2 (% of imports),Russian Federation,11.1
Georgia,2010,Major trading partner 3 (% of exports),Russian Federation,2.7
Georgia,2015,Major trading partner 3 (% of exports),Russian Federation,7.4
Georgia,2020,Major trading partner 3 (% of exports),Russian Federation,13.2
Georgia,2010,Major trading partner 3 (% of imports),China,6.4
Georgia,2015,Major trading partner 3 (% of imports),China,8.1
Georgia,2020,Major trading partner 3 (% of imports),China,8.8
Germany,2010,Major trading partner 1 (% of exports),United States,6.9
Germany,2015,Major trading partner 1 (% of exports),United States,9.5
Germany,2020,Major trading partner 1 (% of exports),United States,8.6
Germany,2010,Major trading partner 1 (% of imports),China,9.8
Germany,2015,Major trading partner 1 (% of imports),China,9.8
Germany,2020,Major trading partner 1 (% of imports),China,11.4
Germany,2010,Major trading partner 2 (% of exports),China,5.6
Germany,2015,Major trading partner 2 (% of exports),China,6
Germany,2020,Major trading partner 2 (% of exports),China,8
Germany,2010,Major trading partner 2 (% of imports),Netherlands,7.7
Germany,2015,Major trading partner 2 (% of imports),Netherlands,8.3
Germany,2020,Major trading partner 2 (% of imports),Netherlands,7.7
Germany,2010,Major trading partner 3 (% of exports),France,9.5
Germany,2015,Major trading partner 3 (% of exports),France,8.8
Germany,2020,Major trading partner 3 (% of exports),France,7.5
Germany,2010,Major trading partner 3 (% of imports),United States,5.8
Germany,2015,Major trading partner 3 (% of imports),United States,6.5
Germany,2020,Major trading partner 3 (% of imports),United States,6.7
Ghana,2010,Major trading partner 1 (% of exports),China,1
Ghana,2015,Major trading partner 1 (% of exports),China,8.1
Ghana,2020,Major trading partner 1 (% of exports),China,16.7
Ghana,2010,Major trading partner 1 (% of imports),China,13.2
Ghana,2015,Major trading partner 1 (% of imports),China,16.9
Ghana,2020,Major trading partner 1 (% of imports),China,18.2
Ghana,2010,Major trading partner 2 (% of exports),Switzerland,4.1
Ghana,2015,Major trading partner 2 (% of exports),Switzerland,9.9
Ghana,2020,Major trading partner 2 (% of exports),Switzerland,14.7
Ghana,2010,Major trading partner 2 (% of imports),United States,13.7
Ghana,2015,Major trading partner 2 (% of imports),United States,8.2
Ghana,2020,Major trading partner 2 (% of imports),United States,9.4
Ghana,2010,Major trading partner 3 (% of exports),India,0.9
Ghana,2015,Major trading partner 3 (% of exports),India,17.1
Ghana,2020,Major trading partner 3 (% of exports),India,14.2
Ghana,2010,Major trading partner 3 (% of imports),United Kingdom,4.8
Ghana,2015,Major trading partner 3 (% of imports),United Kingdom,5.4
Ghana,2020,Major trading partner 3 (% of imports),United Kingdom,6.6
Gibraltar,2010,Major trading partner 1 (% of exports),Netherlands,0.1
Gibraltar,2015,Major trading partner 1 (% of exports),Netherlands,0.5
Gibraltar,2020,Major trading partner 1 (% of exports),Netherlands,26.2
Gibraltar,2010,Major trading partner 1 (% of imports),Areas nes,15
Gibraltar,2020,Major trading partner 1 (% of imports),Areas nes,35.3
Gibraltar,2010,Major trading partner 2 (% of exports),France,0.9
Gibraltar,2015,Major trading partner 2 (% of exports),France,0.4
Gibraltar,2020,Major trading partner 2 (% of exports),France,12.7
Gibraltar,2010,Major trading partner 2 (% of imports),United Kingdom,14.8
Gibraltar,2015,Major trading partner 2 (% of imports),United Kingdom,15.3
Gibraltar,2020,Major trading partner 2 (% of imports),United Kingdom,14
Gibraltar,2010,Major trading partner 3 (% of exports),United States,0.2
Gibraltar,2015,Major trading partner 3 (% of exports),United States,0.4
Gibraltar,2020,Major trading partner 3 (% of exports),United States,12
Gibraltar,2010,Major trading partner 3 (% of imports),United States,22.7
Gibraltar,2015,Major trading partner 3 (% of imports),United States,22.8
Gibraltar,2020,Major trading partner 3 (% of imports),United States,11.7
Greece,2010,Major trading partner 1 (% of exports),Italy,9.2
Greece,2015,Major trading partner 1 (% of exports),Italy,11.4
Greece,2020,Major trading partner 1 (% of exports),Italy,10.5
Greece,2010,Major trading partner 1 (% of imports),Germany,10.7
Greece,2015,Major trading partner 1 (% of imports),Germany,10.6
Greece,2020,Major trading partner 1 (% of imports),Germany,11.9
Greece,2010,Major trading partner 2 (% of exports),Germany,9.3
Greece,2015,Major trading partner 2 (% of exports),Germany,7.3
Greece,2020,Major trading partner 2 (% of exports),Germany,7.7
Greece,2010,Major trading partner 2 (% of imports),Italy,9.7
Greece,2015,Major trading partner 2 (% of imports),Italy,7.9
Greece,2020,Major trading partner 2 (% of imports),Italy,8.3
Greece,2010,Major trading partner 3 (% of exports),Cyprus,6.4
Greece,2015,Major trading partner 3 (% of exports),Cyprus,5.6
Greece,2020,Major trading partner 3 (% of exports),Cyprus,6
